KeyValue	PolygonCode	Date	Rain	AirTemperatureMax	AirTemperatureMin	GlobalSolarRadiation	WindSpeed	ReferenceEvapotranspiration
ClimateId7	12345	01-01-1982	6.8	2.7	0.1	1.6443	1.9	0.6
ClimateId7	12345	02-01-1982	13.4	5.3	1.7	1.5357	5.8	0.6
ClimateId7	12345	03-01-1982	0.5	7.7	1.3	2.4303	2.3	0.5
ClimateId7	12345	04-01-1982	0.4	9.2	0.0	3.1385	2.9	0.4
ClimateId7	12345	05-01-1982	0.4	10.1	5.9	1.5564	4.6	1.3
ClimateId7	12345	06-01-1982	0.5	6.1	3.9	2.3357	7.8	1.2
ClimateId7	12345	07-01-1982	0.3	-3.6	-6.1	1.1648	9.3	1.9
ClimateId7	12345	08-01-1982	0.0	-5.6	-9.3	1.6985	4.1	0.8
ClimateId7	12345	09-01-1982	2.2	-2.8	-3.0	2.2352	5.3	0.6
ClimateId7	12345	10-01-1982	4.8	-8.3	-4.0	2.1456	2.1	0.6
ClimateId7	12345	11-01-1982	0.3	-5.5	-12.2	3.0677	5.2	0.2
ClimateId7	12345	12-01-1982	2.0	-2.5	-7.6	2.3424	3.4	0.4
ClimateId7	12345	13-01-1982	0.0	-7.3	-13.1	2.5421	1.8	0.2
ClimateId7	12345	14-01-1982	0.3	-5.0	-13.0	3.7196	4.6	0.2
ClimateId7	12345	15-01-1982	0.3	-6.5	-12.3	2.4407	4.0	0.2
ClimateId7	12345	16-01-1982	0.1	-2.9	-9.2	1.7902	3.3	0.5
ClimateId7	12345	17-01-1982	0.0	-6.4	-9.5	1.5668	3.0	0.3
ClimateId7	12345	18-01-1982	0.0	-6.8	-8.7	1.4711	1.7	0.3
ClimateId7	12345	19-01-1982	0.0	-6.0	-8.1	0.9607	1.8	0.4
ClimateId7	12345	20-01-1982	0.0	-6.9	-7.6	0.7225	2.7	0.4
ClimateId7	12345	21-01-1982	0.0	-3.0	-8.6	2.7136	2.0	0.3
ClimateId7	12345	22-01-1982	0.0	-4.1	-9.1	2.6951	1.0	0.2
ClimateId7	12345	23-01-1982	0.2	0.1	-5.2	2.4967	0.9	0.6
ClimateId7	12345	24-01-1982	0.2	-1.7	-3.4	1.1708	1.1	0.4
ClimateId7	12345	25-01-1982	0.0	0.6	-3.4	2.7335	1.1	0.4
ClimateId7	12345	26-01-1982	0.4	-1.1	-6.7	3.3106	3.8	0.3
ClimateId7	12345	27-01-1982	0.8	-2.0	-4.1	2.2177	2.7	0.5
ClimateId7	12345	28-01-1982	0.0	3.5	-4.0	3.8692	2.9	0.3
ClimateId7	12345	29-01-1982	3.8	4.6	1.2	2.2874	6.2	1.1
ClimateId7	12345	30-01-1982	11.0	6.8	-1.7	3.6649	7.8	0.8
ClimateId7	12345	31-01-1982	5.3	5.7	-2.2	3.5613	9.7	0.8
ClimateId7	12345	01-02-1982	0.6	2.0	-1.0	2.6737	8.6	1.8
ClimateId7	12345	02-02-1982	0.0	0.5	-2.3	3.3268	5.1	0.9
ClimateId7	12345	03-02-1982	0.7	-1.6	-3.7	3.6195	2.3	0.7
ClimateId7	12345	04-02-1982	0.4	-0.7	-7.4	4.3856	2.6	0.3
ClimateId7	12345	05-02-1982	0.9	0.7	-5.6	4.2964	1.8	0.4
ClimateId7	12345	06-02-1982	0.5	-1.7	-5.6	3.2452	1.2	0.3
ClimateId7	12345	07-02-1982	0.4	3.7	-2.8	4.4737	1.8	0.6
ClimateId7	12345	08-02-1982	0.1	1.7	-0.9	2.3619	2.4	0.5
ClimateId7	12345	09-02-1982	0.6	5.8	0.3	4.1562	4.7	0.9
ClimateId7	12345	10-02-1982	0.0	6.3	-2.5	5.742	2.2	0.5
ClimateId7	12345	11-02-1982	0.0	2.2	-0.6	2.8063	4.8	0.7
ClimateId7	12345	12-02-1982	0.0	-0.3	-1.7	1.6327	1.8	0.5
ClimateId7	12345	13-02-1982	0.0	-1.1	-2.4	2.2013	3.2	0.5
ClimateId7	12345	14-02-1982	0.0	-0.8	-2.9	2.5599	5.4	0.6
ClimateId7	12345	15-02-1982	0.0	-0.2	-2.7	2.4963	4.5	0.6
ClimateId7	12345	16-02-1982	0.0	4.0	-2.5	5.2215	4.6	0.8
ClimateId7	12345	17-02-1982	0.0	5.7	-1.0	5.4648	4.6	0.9
ClimateId7	12345	18-02-1982	0.0	2.3	-0.7	3.3325	3.9	0.9
ClimateId7	12345	19-02-1982	0.0	0.5	-4.1	4.5204	4.2	0.9
ClimateId7	12345	20-02-1982	0.0	-0.5	-6.5	5.4316	4.0	0.9
ClimateId7	12345	21-02-1982	0.0	-0.9	-8.2	6.3381	2.1	0.6
ClimateId7	12345	22-02-1982	0.1	-1.3	-8.1	6.0437	2.1	0.5
ClimateId7	12345	23-02-1982	0.8	-1.2	-5.7	4.7167	5.6	0.8
ClimateId7	12345	24-02-1982	0.0	-0.1	-7.2	6.2348	2.0	0.5
ClimateId7	12345	25-02-1982	0.5	1.7	-3.0	5.1813	2.3	0.6
ClimateId7	12345	26-02-1982	2.2	1.3	-1.0	3.1019	4.9	0.8
ClimateId7	12345	27-02-1982	0.0	3.2	-0.8	5.4537	4.0	1.2
ClimateId7	12345	28-02-1982	0.0	6.9	-4.0	8.8197	2.9	1.1
ClimateId7	12345	01-03-1982	0.5	11.3	1.8	8.2685	3.4	1.1
ClimateId7	12345	02-03-1982	1.7	7.4	3.6	4.8278	3.8	1.2
ClimateId7	12345	03-03-1982	0.0	11.6	1.9	8.6754	4.7	1.9
ClimateId7	12345	04-03-1982	0.0	10.9	2.2	8.3029	3.5	1.5
ClimateId7	12345	05-03-1982	0.0	7.8	4.0	5.1012	5.0	1.9
ClimateId7	12345	06-03-1982	0.0	5.3	0.3	6.1199	5.5	1.8
ClimateId7	12345	07-03-1982	0.0	7.1	-0.5	7.9599	3.3	1.4
ClimateId7	12345	08-03-1982	0.0	7.8	-0.7	8.7084	3.3	1.4
ClimateId7	12345	09-03-1982	0.0	8.6	0.1	8.8098	4.1	1.5
ClimateId7	12345	10-03-1982	0.0	8.5	-1.8	9.9622	2.8	1.0
ClimateId7	12345	11-03-1982	0.4	8.5	2.7	7.3293	6.7	2.0
ClimateId7	12345	12-03-1982	0.0	8.3	1.4	8.3141	4.4	1.8
ClimateId7	12345	13-03-1982	0.5	7.0	3.1	6.0175	4.1	1.7
ClimateId7	12345	14-03-1982	0.0	7.9	0.8	8.5573	5.0	1.9
ClimateId7	12345	15-03-1982	0.0	9.9	0.1	10.444	2.8	1.6
ClimateId7	12345	16-03-1982	0.0	11.1	0.3	11.1455	5.9	2.5
ClimateId7	12345	17-03-1982	0.0	12.6	1.0	11.8082	5.9	2.4
ClimateId7	12345	18-03-1982	1.0	8.4	4.4	6.6975	2.8	1.3
ClimateId7	12345	19-03-1982	10.0	5.0	1.1	6.5147	3.9	0.9
ClimateId7	12345	20-03-1982	0.0	9.6	1.5	10.0963	4.0	1.7
ClimateId7	12345	21-03-1982	0.2	8.3	2.5	8.511	2.3	1.2
ClimateId7	12345	22-03-1982	0.0	8.2	1.4	9.3413	2.5	1.6
ClimateId7	12345	23-03-1982	0.0	9.8	-0.1	11.5111	2.1	1.6
ClimateId7	12345	24-03-1982	0.0	10.2	-0.2	12.2	3.3	2.0
ClimateId7	12345	25-03-1982	0.0	11.9	0.9	11.9589	3.0	2.0
ClimateId7	12345	26-03-1982	0.0	16.3	2.5	14.5542	3.0	2.5
ClimateId7	12345	27-03-1982	0.0	17.2	2.7	15.0988	2.5	2.3
ClimateId7	12345	28-03-1982	0.0	18.9	4.4	15.2258	3.0	2.7
ClimateId7	12345	29-03-1982	0.0	16.3	8.7	11.2448	4.0	2.9
ClimateId7	12345	30-03-1982	1.4	13.8	6.2	10.9443	2.8	1.9
