Date	Rain	AirTemperatureMax	AirTemperatureMin	GlobalSolarRadiation	WindSpeed	ReferenceEvapotranspiration
01-01-1982	3.5	3.6	1.3	1.2424	1.7	0.4
02-01-1982	13.7	7.1	1.7	2.0594	6.2	0.9
03-01-1982	0.7	6.5	-0.1	2.5835	2	0.5
04-01-1982	0.4	8.4	-0.8	3.0946	2.1	0.4
05-01-1982	0	9.4	3.4	2.3815	3	0.9
06-01-1982	0	11.8	2.3	3.427	6.1	1.5
07-01-1982	0.7	-3.1	-5.4	1.3879	9.8	1.9
08-01-1982	0	-5.4	-10.1	2.0604	3.7	0.7
09-01-1982	2	-6.3	-3.6	2.6503	5.4	0.5
10-01-1982	3.3	-7.5	-7	1.7111	2.6	0.5
11-01-1982	5.6	-5.5	-11.3	3.045	5.1	0.2
12-01-1982	0.6	-1.7	-7.4	2.2954	3.8	0.5
13-01-1982	0.1	-5.3	-10.5	2.4554	2	0.3
14-01-1982	0	-5	-13.1	3.9656	5	0.3
15-01-1982	0	-5.8	-9.2	2.6068	4.4	0.4
16-01-1982	0	-7.4	-9.3	1.0941	3.1	0.3
17-01-1982	0	-6.5	-9.9	1.4916	2.7	0.3
18-01-1982	0	-6.4	-8.8	1.3619	1.4	0.3
19-01-1982	0	-7	-8.4	0.6299	1	0.4
20-01-1982	0.2	-5.8	-7.6	1.1466	2.1	0.4
21-01-1982	0	-2.7	-8.1	2.3439	2.2	0.4
22-01-1982	0.2	-4.2	-8.3	2.5337	1.3	0.3
23-01-1982	0.3	-1.6	-5.3	2.602	0.9	0.4
24-01-1982	0.3	-1.5	-4.6	1.9287	1.3	0.3
25-01-1982	0	-0.3	-3.7	2.4255	1.4	0.5
26-01-1982	0.7	-1.8	-5.6	3.0347	4.1	0.4
27-01-1982	0.6	-2.1	-4.6	2.4704	2.5	0.5
28-01-1982	0.3	3.8	-4.8	4.2243	1.8	0.4
29-01-1982	2.5	5.7	-0.2	3.2951	3.4	0.8
30-01-1982	9.8	8.5	-1.3	4.6647	5.2	0.8
31-01-1982	2.4	8.2	-0.7	4.2832	8.9	1.2
01-02-1982	0.6	2.6	-0.7	2.5851	8.6	1.9
02-02-1982	0	1.6	-2.6	3.1392	6.2	1.1
03-02-1982	0.4	-0.1	-6.2	3.946	1.8	0.5
04-02-1982	0	0.6	-8.4	5.2668	2	0.3
05-02-1982	0.7	3.2	-7.2	5.5698	2.6	0.5
06-02-1982	0	2	-7.1	5.0576	1.3	0.4
07-02-1982	0	6.1	-4.3	6.1327	1	0.3
08-02-1982	0	4	-2.3	4.1115	2	0.6
09-02-1982	0.1	7	0.2	4.9012	5	1.1
10-02-1982	0	7	-2.9	6.0651	2	0.6
11-02-1982	0	2.3	-1.6	3.438	5.7	0.7
12-02-1982	0	-0.4	-2.2	1.9233	1.8	0.5
13-02-1982	0	-1.5	-2.5	2.2305	2.7	0.6
14-02-1982	0	-1.3	-3	1.9957	4.5	0.6
15-02-1982	0	-1.1	-3.1	2.2425	3.8	0.6
16-02-1982	0	4	-2.7	5.542	3.8	0.8
17-02-1982	0	6	-1.1	5.9491	3.9	0.9
